Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
313636371.852417	241698347.509459	372373866.703531	236979770.848123	235600.000000	1132.242885	58925547.032559
313579438.909643	241779107.033488	372435680.718581	237074617.697844	235700.000000	1131.989376	59042789.343480
313522485.834338	241859851.034734	372497463.460067	237169454.687269	235800.000000	1131.736201	59160029.455847
313465512.630800	241940579.508509	372559214.992283	237264281.809707	235900.000000	1131.483358	59277267.379762
313408519.303329	242021292.450126	372620935.379191	237359099.058551	236000.000000	1131.230846	59394503.125394
313351505.856227	242101989.854899	372682624.684426	237453906.427286	236100.000000	1130.978664	59511736.702978
313294472.293794	242182671.718144	372744282.971295	237548703.909481	236200.000000	1130.726811	59628968.122814
313237418.620333	242263338.035175	372805910.302781	237643491.498791	236300.000000	1130.475284	59746197.395264
313180344.840149	242343988.801312	372867506.741545	237738269.188955	236400.000000	1130.224083	59863424.530753
313123250.957543	242424624.011873	372929072.349928	237833036.973795	236500.000000	1129.973207	59980649.539766
313066136.976823	242505243.662177	372990607.189956	237927794.847218	236600.000000	1129.722653	60097872.432847
313009002.902293	242585847.747547	373052111.323339	238022542.803211	236700.000000	1129.472421	60215093.220597
312951848.738262	242666436.263304	373113584.811473	238117280.835842	236800.000000	1129.222510	60332311.913674
312894674.489037	242747009.204773	373175027.715448	238212008.939260	236900.000000	1128.972918	60449528.522793
312837480.158926	242827566.567278	373236440.096044	238306727.107692	237000.000000	1128.723644	60566743.058722
312780265.752240	242908108.346145	373297822.013736	238401435.335443	237100.000000	1128.474686	60683955.532280
312723031.273290	242988634.536701	373359173.528696	238496133.616899	237200.000000	1128.226044	60801165.954341
312665776.726385	243069145.134276	373420494.700795	238590821.946518	237300.000000	1127.977716	60918374.335829
312608502.115840	243149640.134198	373481785.589607	238685500.318836	237400.000000	1127.729701	61035580.687716
312551207.445967	243230119.531800	373543046.254408	238780168.728466	237500.000000	1127.481998	61152785.021023
312493892.721081	243310583.322412	373604276.754180	238874827.170091	237600.000000	1127.234605	61269987.346820
312436557.945496	243391031.501368	373665477.147614	238969475.638472	237700.000000	1126.987521	61387187.676219
312379203.123529	243471464.064003	373726647.493109	239064114.128439	237800.000000	1126.740746	61504386.020383
312321828.259497	243551881.005653	373787787.848780	239158742.634895	237900.000000	1126.494277	61621582.390514
312264433.357718	243632282.321654	373848898.272454	239253361.152817	238000.000000	1126.248114	61738776.797859
312207018.422509	243712668.007346	373909978.821673	239347969.677248	238100.000000	1126.002255	61855969.253708
